A,B,B+180,Hr,Hr [rad],Theta r,Diff order-wrong,Diff Order,Color ,Brightness,Lambda [nm],,A,B,B+180,Hr,Hr [rad],Theta r,Diff order-wrong,Diff Order,Color ,Brightness,Lambda [nm],,d,m*lambda(He),Hr-graph(He),m*lambda(H),Hr-graph(H),Hr-graph(H) [rad],y=1/lamb,x,n initial,n final,,Regression,,,,,,
297.583333,117.616667,297.616667,297.6,5.194099854,36.8,-1,1,red,*,706.52,,,,,,,,,,,,,,,706.52,297.6,,,,,,,,,0.808760449,-0.588138194,-705.0514548,-706.52,-1.468545223,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.840566603,-0.54170821,-894.2697597,-894.3,-0.030240299,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84843324,-0.529302406,-943.9536492,-942.62,1.333649226,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.854685432,-0.519146234,-984.3680011,-984.38,-0.011998863,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.857317085,-0.514788711,-1001.637484,-1003.14,-1.502516043,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85851273,-0.512792251,-1009.535784,-1009.54,-0.004216417,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.882742664,-0.469856774,-1177.342854,-1175.12,2.222854448,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.903833772,-0.42788376,-1337.797107,-1335.64,2.157107135,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.905507091,-0.424331131,-1351.223336,-1341.45,9.773335679,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.921185406,-0.38912395,-1483.028139,-1476.57,6.458138738,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.924268668,-0.381742622,-1510.379645,-1504.71,5.66964529,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.925595564,-0.378514004,-1522.313216,-1514.31,8.003216212,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.951056517,-0.309016992,-1774.896943,-1762.68,12.21694319,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.970821209,-0.239804462,-2018.710029,-2119.56,-100.8499708,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.953014597,-0.302924378,-1796.661169,-1788.6,8.061168696,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.962138751,-0.272560131,-1904.251457,-1885.24,19.01145723,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.968474557,-0.249112488,-1986.351726,-2019.08,-32.72827355,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.970960557,-0.23923962,-2020.669412,-1968.76,51.90941229,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.990787277,-0.135427364,-2372.781976,-2350.24,22.54197606,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.544028995,-0.839066417,446.00996,447.15,1.140039989,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.536317917,-0.84401605,472.1588056,471.31,-0.848805557,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.529795915,-0.848125161,494.033736,492.19,-1.843736048,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.526832176,-0.849969328,503.9019251,501.57,-2.331925063,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.501007327,-0.865443041,588.0265319,587.56,-0.466531853,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.477030934,-0.878886505,663.2439789,667.82,4.576021081,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.463296035,-0.886203579,705.1312882,706.52,1.388711764,,
