Spectrum Name:,,,,,,,,,Channel,Energy,Counts,Gross,LN(count),Absorption-Thickness
,,,,,,,,,314,,123,,,
,,,,,,,,,315,,99,,,
,,,,,,,,,316,,99,,,
,,,,,,,,,317,,120,,,
,,,,,,,,,318,,93,,,
,,,,,,,,,319,,126,,,
,,,,,,,,,320,,102,,,
,,,,,,,,,321,,109,,,
,,,,,,,,,322,,117,,,
,,,,,,,,,323,,123,,,
,,,,,,,,,324,,95,,,
,,,,,,,,,325,,130,,,
,,,,,,,,,326,,106,,,
,,,,,,,,,327,,106,,,
,,,,,,,,,328,,87,,,
,,,,,,,,,329,,96,,,
,,,,,,,,,330,,123,,,
,,,,,,,,,331,,108,,,
,,,,,,,,,332,,114,,,
,,,,,,,,,333,,91,,,
,,,,,,,,,334,,102,,,
,,,,,,,,,335,,114,,,
,,,,,,,,,336,,97,,,
,,,,,,,,,337,,110,,,
,,,,,,,,,338,,112,,,
,,,,,,,,,339,,108,,,
,,,,,,,,,340,,102,,,
,,,,,,,,,341,,91,,,
,,,,,,,,,342,,111,,,
,,,,,,,,,343,,113,,,
,,,,,,,,,344,,97,,,
,,,,,,,,,345,,128,,,
,,,,,,,,,346,,108,,,
,,,,,,,,,347,,107,,,
,,,,,,,,,348,,114,,,
,,,,,,,,,349,,111,,,
,,,,,,,,,350,,121,,,
,,,,,,,,,351,,107,,,
,,,,,,,,,352,,112,,,
,,,,,,,,,353,,100,,,
,,,,,,,,,354,,115,,,
,,,,,,,,,355,,109,,,
,,,,,,,,,356,,114,,,
,,,,,,,,,357,,111,,,
,,,,,,,,,358,,102,,,
,,,,,,,,,359,,125,,,
,,,,,,,,,360,,110,,,
,,,,,,,,,361,,119,,,
,,,,,,,,,362,,117,,,
,,,,,,,,,363,,106,,,
,,,,,,,,,364,,96,,,
,,,,,,,,,365,,113,,,
,,,,,,,,,366,,97,,,
,,,,,,,,,367,,113,,,
,,,,,,,,,368,,108,,,
,,,,,,,,,369,,112,,,
,,,,,,,,,370,,114,,,
,,,,,,,,,371,,109,,,
,,,,,,,,,372,,115,,,
,,,,,,,,,373,,110,,,
,,,,,,,,,374,,104,,,
,,,,,,,,,375,,121,,,
