Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_err_T1,rel_flux_err_C2,rel_flux_SNR_T1,rel_flux_SNR_C2,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2
HD113414BessellV3713_cal.fits,1722,0,60060.819222,2460060.819222,2460060.819135,2460060.824779,2460060.825628,1.870870,32.200026,NaN,15,13.060836,-16.336575,9.235429,12,24,35,2.913503,0,0.004409,0,660.861223,0,586678.429013,765.980524,1019.495742,1021.052585,1019.995742,1027.447415,1709289.614677,452.389342,1307.416235,1307.379830,12407.328125,3778.359602,-5275.927463,1718,8.986069,11.204231,11.285639,11.122824,19.685773,0.999647,1753.969135,1626.425058,1754.469135,422.074942,586678.429013,765.980524,765.918207,297.884583,1296.844055,-5353.461963,9.484790,11.492563,11.723135,11.261991,15.243750,0.997834
HD113414BessellV3714_cal.fits,1723,0,60060.819425,2460060.819425,2460060.819338,2460060.824982,2460060.825832,1.874139,32.136592,NaN,15,13.060836,-16.336575,9.373979,12,24,35,2.921466,0,0.004642,0,629.330732,0,531664.766404,729.186108,1019.619982,1020.995786,1020.119982,1027.504214,1553240.561677,452.389342,1246.309911,1246.271532,5681.906738,3433.415461,-5275.931802,1739,11.189493,12.735202,12.887359,12.583046,24.330920,0.998692,1754.066432,1626.274915,1754.566432,422.225085,531664.766404,729.186108,729.120811,-1572.236938,1175.237162,-5349.995819,7.558464,12.805479,12.995810,12.615147,16.486110,0.998745
HD113414BessellV3715_cal.fits,1724,0,60060.819627,2460060.819627,2460060.819540,2460060.825184,2460060.826034,1.877401,32.073557,NaN,15,13.060836,-16.336575,9.198158,12,24,35,2.968657,0,0.004717,0,629.413886,0,529649.885068,727.803380,1017.178885,1021.791441,1017.678885,1026.708559,1572348.869565,452.389342,1253.952485,1253.914234,6438.935059,3475.654095,-5271.839559,1694,10.753555,12.531315,12.442408,12.620222,298.547249,0.999318,1751.842506,1627.184475,1752.342506,421.315525,529649.885068,727.803380,727.737600,-1620.101440,1170.783296,-5347.938674,7.642761,12.754591,12.773088,12.736094,319.166286,0.999599
HD113414BessellV3716_cal.fits,1725,0,60060.819830,2460060.819830,2460060.819743,2460060.825386,2460060.826236,1.880676,32.010527,NaN,15,13.060836,-16.336575,8.019254,12,24,35,2.956085,0,0.004416,0,669.444099,0,599799.396914,774.497879,1019.239359,1022.156545,1019.739359,1026.343455,1773057.829352,452.389342,1331.580051,1331.544302,19546.673828,3919.318305,-5281.063774,1747,7.839816,9.938566,9.832355,10.044777,286.570279,0.999349,1753.750268,1627.569988,1754.250268,420.930012,599799.396914,774.497879,774.436461,2387.358398,1325.847762,-5354.304092,8.198691,10.209190,10.169343,10.249038,304.553525,0.999521
HD113414BessellV3717_cal.fits,1726,0,60060.820032,2460060.820032,2460060.819945,2460060.825589,2460060.826439,1.883966,31.947486,NaN,15,13.060836,-16.336575,8.348735,12,24,35,2.935883,0,0.004444,0,660.594875,0,585063.827726,764.925756,1016.983311,1021.306752,1017.483311,1027.193248,1717679.052878,452.389342,1310.620797,1310.584310,15166.961914,3796.904332,-5279.300006,1744,8.278347,10.920843,11.116927,10.724760,331.633766,0.995717,1751.436133,1626.784039,1751.936133,421.715961,585063.827726,764.925756,764.863548,1242.084473,1293.275003,-5353.877400,8.419123,11.208318,11.461059,10.955577,331.745652,0.993327
HD113414BessellV3718_cal.fits,1727,0,60060.820234,2460060.820234,2460060.820147,2460060.825791,2460060.826641,1.887274,31.884357,NaN,15,13.060836,-16.336575,8.270444,12,24,35,2.950086,0,0.004408,0,669.317356,0,599880.771561,774.550632,1019.722053,1021.231679,1020.222053,1027.268321,1769699.618328,452.389342,1330.318566,1330.282583,18812.134766,3911.895028,-5282.816945,1688,8.005273,10.040059,9.925687,10.154431,300.439282,0.997809,1754.291054,1626.663856,1754.791054,421.836144,599880.771561,774.550632,774.488777,1974.785522,1326.027640,-5351.462176,8.535614,10.342214,10.339977,10.344451,314.717284,0.998078
HD113414BessellV3719_cal.fits,1728,0,60060.820436,2460060.820436,2460060.820349,2460060.825993,2460060.826843,1.890587,31.821413,NaN,15,13.060836,-16.336575,8.540176,12,24,35,2.951786,0,0.004416,0,668.431922,0,598207.557604,773.469774,1020.900208,1021.084086,1021.400208,1027.415914,1765780.571115,452.389342,1328.844790,1328.808740,17294.013672,3903.232032,-5281.692094,1684,8.190387,10.325894,10.080427,10.571361,285.913260,0.996872,1755.396619,1626.466651,1755.896619,422.033349,598207.557604,773.469774,773.407801,1518.494629,1322.329025,-5353.632738,8.889964,10.527129,10.296208,10.758050,280.409706,0.997799
HD113414BessellV3720_cal.fits,1729,0,60060.820638,2460060.820638,2460060.820552,2460060.826195,2460060.827045,1.893916,31.758398,NaN,15,13.060836,-16.336575,8.892659,12,24,35,2.936272,0,0.004455,0,659.132156,0,582456.999174,763.220449,1021.041661,1021.925576,1021.541661,1026.574424,1710252.073828,452.389342,1307.784412,1307.747713,13419.693359,3780.487104,-5278.017038,1602,8.748139,11.022663,10.917569,11.127757,293.309370,0.999229,1755.426317,1627.038759,1755.926317,421.461241,582456.999174,763.220449,763.156962,539.676453,1287.512647,-5350.010503,9.037180,11.293932,11.297099,11.290766,315.502766,0.998979
HD113414BessellV3721_cal.fits,1730,0,60060.820841,2460060.820841,2460060.820754,2460060.826397,2460060.827247,1.897260,31.695391,NaN,15,13.060836,-16.336575,9.221923,12,24,35,2.945444,0,0.004503,0,654.090477,0,573126.859528,757.082808,1022.380334,1021.119609,1022.880334,1027.380391,1688113.097883,452.389342,1299.292466,1299.255665,11568.644531,3731.549223,-5280.440050,1756,9.103721,11.446526,11.296247,11.596806,288.571075,0.998915,1756.847668,1626.572589,1757.347668,421.927411,573126.859528,757.082808,757.020043,199.195328,1266.888510,-5351.872349,9.340126,11.642316,11.529942,11.754689,291.061360,0.999323
HD113414BessellV3722_cal.fits,1731,0,60060.821044,2460060.821044,2460060.820957,2460060.826601,2460060.827451,1.900641,31.631942,NaN,15,13.060836,-16.336575,9.360716,12,24,35,2.939702,0,0.004560,0,644.608097,0,556906.945919,746.294066,1021.595965,1020.799439,1022.095965,1027.700561,1637140.716166,452.389342,1279.526626,1279.489370,9063.424805,3618.875521,-5275.659100,1692,9.772636,11.978262,11.875165,12.081358,285.305669,0.999600,1755.960362,1626.079801,1756.460362,422.420199,556906.945919,746.294066,746.229900,-663.342407,1231.034629,-5351.919373,8.948796,12.097044,12.124148,12.069940,327.837337,0.999893
